id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
697623189194493800,Cabin in Asheville · ★5.0 · 3 bedrooms · 3 beds · 2.5 baths,349898495,Souleigha,,28805,35.62761,-82.47368,Entire home/apt,348,4,3,2022-11-16,0.24,1,356,2,
698312292468788103,Rental unit in Arden · ★4.68 · 1 bedroom · 2 beds · 1 bath,164488739,Trifecta,,28704,35.47646,-82.56628,Entire home/apt,76,1,28,2023-09-03,2.20,4,362,25,
698312324969137172,Rental unit in Arden · ★4.79 · 1 bedroom · 2 beds · 1 bath,164488739,Trifecta,,28704,35.47503,-82.56707,Entire home/apt,76,1,39,2023-07-17,3.05,4,361,36,
698312346476999849,Rental unit in Arden · ★4.88 · 1 bedroom · 2 beds · 1 bath,164488739,Trifecta,,28704,35.47467,-82.56669,Entire home/apt,76,1,33,2023-09-03,2.59,4,344,32,
698312366002400383,Rental unit in Arden · ★4.79 · 2 bedrooms · 3 beds · 2 baths,164488739,Trifecta,,28704,35.47646,-82.56831,Entire home/apt,76,1,62,2023-09-10,4.88,4,347,58,
698725929556587296,Home in Asheville · ★5.0 · 2 bedrooms · 3 beds · 1 bath,475705099,Jennifer,,28806,35.574627,-82.6076305,Entire home/apt,85,30,5,2023-06-01,0.48,1,340,5,
699184242751473256,Condo in Asheville · ★4.97 · 1 bedroom · 1 bed · 1 bath,122746719,Rebecca & Austin,,28801,35.5932046,-82.5499229,Entire home/apt,200,2,70,2023-08-24,5.82,3,149,70,
699213985438930345,Bungalow in Asheville · 1 bedroom · 1 bed · 1 shared bath,40075501,Jamie,,28803,35.541669235059345,-82.51727035268856,Private room,75,2,0,,,1,0,0,
699244524348422704,Guesthouse in Asheville · ★4.98 · 1 bedroom · 1 bed · 1 bath,250345844,Pamela Lynn,,28801,35.6073812,-82.5591127,Entire home/apt,114,2,46,2023-09-10,3.61,1,311,43,
699423856064646408,Home in Asheville · ★5.0 · 4 bedrooms · 5 beds · 5 baths,459420899,Hopetown,,28806,35.63948,-82.62641,Entire home/apt,165,1,4,2023-07-23,0.36,3,331,4,
699455719266132450,Rental unit in Asheville · ★5.0 · 2 bedrooms · 3 beds · 2.5 baths,459420899,Hopetown,,28806,35.63816,-82.62781,Entire home/apt,102,1,6,2023-03-18,0.49,3,334,6,
700134617928939908,Home in Asheville · 4 bedrooms · 5 beds · 2.5 baths,65467147,Diana,,28801,35.60102393824355,-82.54229287790984,Entire home/apt,220,29,2,2023-08-31,0.24,1,346,2,
700255410096550243,Guest suite in Asheville · ★4.90 · 1 bedroom · 1 bed · 1 bath,174463018,Stephen,,28801,35.5858794,-82.5584631,Entire home/apt,110,1,21,2023-09-10,5.53,1,129,21,
700859437931507959,Home in Asheville · ★4.90 · 3 bedrooms · 6 beds · 2 baths,460430148,Myron And Brittany,,28805,35.616,-82.4775,Entire home/apt,205,1,39,2023-09-10,3.14,2,234,37,
701379308767487416,Condo in Arden · ★4.78 · 2 bedrooms · 2 beds · 2 baths,476682364,Deborah,,28704,35.44886,-82.52035,Entire home/apt,112,1,23,2023-08-05,1.88,1,313,22,
701519587246830822,Home in Asheville · 4 bedrooms · 6 beds · 3 baths,8880434,Lena,,28804,35.62078,-82.54774,Entire home/apt,200,90,0,,,1,164,0,
